sample_id,idtest_run,test_type,idtest_recipe,Test_Version,test_run_start_datetime,RunIndex,test_request_name,ElectricalTestTool,ElectricalTestChannel,is_discharge_only,ChargeCapacity,CapacityChargeFraction,dvdt,min_track_cycle_voltage,CycleIndex,CumulativeCycles,TestCycleStart_datetime,TestCycleStart_date,TestCycleStart_week,TestCycleEnd_datetime,TestCycleStart_datetime_first,TestCycleStart_week_first,TestCycleEnd_date,TestCycleEnd_week,track_cycle_count_cumulative,MiscTestAnomaly,ReliabilityCycles,CompletedCharge,CycleFailure,dvdt_failure,min_track_cycle_voltage_failure,CapacityChargeFraction_failure,AnyFailure,ChargeCapacity_failure,Experiment,Batch,WorkWeek,Group,ML Tier,center_normalized_0_5mm_eroded_rect_outside_median_us,Shorted,Condition
MLD018AE-PS00-02,188698523,E31,15894,R6_A1_TC_45C_7lap_V3,12/25/2024 14:22,40,NAR0105,SJ2-Maccor23,17,0,1216.2125,0.8190866,-16.484357,2.94591,3,65,12/25/2024 18:08,12/25/2024,Y2024-W52,12/25/2024 20:04,12/5/2024 20:22,Y2024-W49,12/25/2024,Y2024-W52,42,,42,,TRUE,1,0,0,TRUE,,QSC022,QSC022AA,Y2024-W49,QSC022,Tier 1,1.01385498,TRUE,Fixed Displacement
MLD018AF-PS00-03,188731855,E31,15895,R6_A1_TC_45C_8lap_V1,1/2/2025 2:42,82,MPG2823,SJ2-Maccor23,13,0,1290.4553,0.8701126,-17.676939,2.83558,5,147,1/2/2025 10:32,1/2/2025,Y2025-W01,1/2/2025 12:33,12/5/2024 20:23,Y2024-W49,1/2/2025,Y2025-W01,64,,64,,TRUE,1,0,0,TRUE,,QSC022,QSC022AA,Y2024-W49,QSC022,Tier 1,1.041777253,TRUE,Fixed Displacement
MLD018AB-PS00-02,188716346,E31,15894,R6_A1_TC_45C_7lap_V3,12/29/2024 6:00,60,KAL0618,SJ2-Maccor23,73,0,1365.3514,0.9199986,,,4,99,12/29/2024 11:41,12/29/2024,Y2025-W01,12/29/2024 12:36,12/5/2024 20:21,Y2024-W49,12/29/2024,Y2025-W01,43,,43,,TRUE,0,0,1,TRUE,,QSC022,QSC022AA,Y2024-W49,QSC022,Tier 1,1.042828441,TRUE,Fixed Displacement
MLD016AB-PS00-03,188723925,E31,15894,R6_A1_TC_45C_7lap_V3,12/30/2024 17:33,69,KAL0616,SJ2-Maccor23,37,0,1364.5302,0.9199969,,,1,114,12/30/2024 17:33,12/30/2024,Y2025-W01,12/30/2024 18:52,12/6/2024 18:21,Y2024-W49,12/30/2024,Y2025-W01,61,,41,,TRUE,0,0,1,TRUE,,QSC022,QSC022AB,Y2024-W49,QSC022,Tier 1,1.020107985,TRUE,Fixed Displacement
MLD016AA-PS00-03,188727567,E31,15895,R6_A1_TC_45C_8lap_V1,12/31/2024 13:47,73,MPG2823,SJ2-Maccor23,41,0,1289.907,0.86946154,-19.268546,2.95262,3,127,12/31/2024 16:55,12/31/2024,Y2025-W01,12/31/2024 18:56,12/6/2024 18:28,Y2024-W49,12/31/2024,Y2025-W01,30,,30,,TRUE,1,0,0,TRUE,,QSC022,QSC022AB,Y2024-W49,QSC022,Tier 1,1.056698442,TRUE,Fixed Displacement
MLD018AD-PS00-02,188747757,E31,15895,R6_A1_TC_45C_8lap_V1,1/5/2025 4:42,101,MPG2823,SJ2-Maccor23,21,0,1365.6847,0.91999996,,,4,182,1/5/2025 10:37,1/5/2025,Y2025-W02,1/5/2025 11:24,12/10/2024 20:50,Y2024-W50,1/5/2025,Y2025-W02,18,,18,,TRUE,0,0,1,TRUE,,QSC022,QSC022AD,Y2024-W50,QSC022,Tier 1,1.020612121,TRUE,Fixed Displacement
MLD018AB-PS00-01,188697522,E31,15894,R6_A1_TC_45C_7lap_V3,12/24/2024 2:24,31,NAR0105,SJ2-Maccor23,25,0,1236.4313,0.83213735,-26.169411,2.99718,4,48,12/24/2024 8:04,12/24/2024,Y2024-W52,12/24/2024 10:00,12/7/2024 19:17,Y2024-W49,12/24/2024,Y2024-W52,51,,51,,TRUE,1,0,0,TRUE,,QSC022,QSC022AC,Y2024-W49,QSC022,Tier 1,1.04861927,TRUE,Fixed Pressure
MLD018AC-PS00-03,188851903,E31,15895,R6_A1_TC_45C_8lap_V1,1/17/2025 1:43,110,NAR0128,SJ2-Maccor23,41,0,1315.9628,0.8852343,-26.107575,2.92462,3,194,1/17/2025 5:35,1/17/2025,Y2025-W03,1/17/2025 7:36,12/7/2024 19:18,Y2024-W49,1/17/2025,Y2025-W03,12,,12,,TRUE,1,0,0,TRUE,,QSC022,QSC022AC,Y2024-W49,QSC022,Tier 1,1.027611256,TRUE,Fixed Pressure
MLD018AD-PS00-03,188695546,E31,15894,R6_A1_TC_45C_7lap_V3,12/23/2024 14:10,29,NAR0104,SJ2-Maccor23,1,0,1370.375,0.9199988,,,2,40,12/23/2024 16:00,12/23/2024,Y2024-W52,12/23/2024 17:01,12/10/2024 20:45,Y2024-W50,12/23/2024,Y2024-W52,161,,161,,TRUE,0,0,1,TRUE,,QSC022,QSC022AD,Y2024-W50,QSC022,Tier 1,1.024451256,TRUE,Fixed Pressure
MLD018AE-PS00-01,188716321,E31,15894,R6_A1_TC_45C_7lap_V3,12/29/2024 5:50,61,KAL0616,SJ2-Maccor23,45,0,1367.0074,0.9199985,,,4,99,12/29/2024 11:30,12/29/2024,Y2025-W01,12/29/2024 12:29,12/10/2024 20:53,Y2024-W50,12/29/2024,Y2025-W01,38,,38,,TRUE,0,0,1,TRUE,,QSC022,QSC022AD,Y2024-W50,QSC022,Tier 1,1.015844941,TRUE,Fixed Pressure
